Flow Duration,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,BotNet_Label
848854,307.47336997881854,2.3561177776154683,848854.0,0.0,848854.0,848854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRC
5540683,2104.433695268255,13.175270990959058,76953.93055555553,585998.1387274032,4976149.0,2.0,277034.15,1117304.24930588,5018532.0,6.0,108619.13725490193,695852.7603034718,4976149.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRC
27,0.0,74074.07407407407,27.0,0.0,27.0,27.0,27.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
63396,3044.356110795635,31.54773171808948,63396.0,0.0,63396.0,63396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
55997,0.0,35.71619908209369,55997.0,0.0,55997.0,55997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Menti
676839,196.50167912901,2.9549124681054137,676839.0,0.0,676839.0,676839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
64493,6946.490316778566,31.011117485618602,64493.0,0.0,64493.0,64493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
56454,21628.2282920608,371.984270379424,2822.700000000001,8694.623445131572,37371.0,28.0,7029.125000000001,13260.42011225781,37542.0,143.0,5128.909090909091,11577.476015561817,37813.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
83240,0.0,24.02691013935608,83240.0,0.0,83240.0,83240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weasel Bot
71019,0.0,28.161477914360947,71019.0,0.0,71019.0,71019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Weasel Bot
683598,782.6237057451892,2.925696096243698,683598.0,0.0,683598.0,683598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IRC
2994066,0.0,0.6679879468254875,2994066.0,0.0,2994066.0,2994066.0,2994066.0,0.0,2994066.0,2994066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Neris
516586,195.5143964412508,5.8073583101361645,258293.0,365272.9783846596,516580.0,6.0,258293.0,365272.9783846596,516580.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
5746,446919.5962408632,2610.511660285416,410.4285714285714,634.1029659515649,2431.0,8.0,574.6,718.4853203479912,2431.0,8.0,1776.3333333333335,2021.9202094378838,3991.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Murlo
347,0.0,8645.533141210375,173.5,232.6381310103741,338.0,9.0,173.5,232.6381310103741,338.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Menti
22310,0.0,89.64589870013447,22310.0,0.0,22310.0,22310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Virut
